"Species","IUCNstatus"
"Cola greenwayi","Not Evaluated"
"Cola laurifolia","Not Threatened"
"Cola lorougnonis","Threatened"
"Cola millenii","Not Threatened"
"Cola minor","Not Threatened"
"Cola mossambicensis","Not Threatened"
"Cola porphyrantha","Threatened"
"Cola pseudoclavata","Not Threatened"
"Cola scheffleri","Vulnerable"
"Cola uloloma","Not Evaluated"
"Colona auriculata","Not Evaluated"
"Combretum nigricans","Not Threatened"
"Combretum obovatum","Not Threatened"
"Combretum quadrangulare","Not Evaluated"
"Combretum schumannii","Not Evaluated"
"Combretum tenuipetiolatum","Threatened"
"Combretum umbricolum","Not Evaluated"
"Commiphora ankaranensis","Vulnerable"
"Commiphora baluensis","Not Threatened"
"Commiphora caerulea","Not Threatened"
"Commiphora eminii","Not Threatened"
"Commiphora hornbyi","Vulnerable"
"Commiphora kerstingii","Not Evaluated"
"Commiphora madagascariensis","Not Threatened"
"Commiphora mossambicensis","Not Evaluated"
"Commiphora oblongifolia","Not Threatened"
"Commiphora ovalifolia","Vulnerable"
"Commiphora pteleifolia","Not Evaluated"
"Commiphora swynnertonii","Not Evaluated"
"Commiphora ugogensis","Not Threatened"
"Conchocarpus fontanesianus","Not Threatened"
"Condalia buxifolia","Not Evaluated"
"Connarus cochinchinensis","Not Evaluated"
"Connarus longistipitatus","Not Threatened"
"Connarus rostratus","Not Evaluated"
"Conyza vernonioides","Not Evaluated"
"Cordia americana","Not Threatened"
"Cordia brasiliensis","Not Threatened"
"Cordia goetzei","Not Evaluated"
"Cordia guineensis","Not Threatened"
"Cordia senegalensis","Not Threatened"
"Cordia torrei","Threatened"
"Cordyla africana","Not Threatened"
"Cordyla densiflora","Vulnerable"
"Cordyla pinnata","Not Threatened"
"Cordyla somalensis","Not Threatened"
"Cornus volkensii","Not Threatened"
"Corypha lecomtei","Not Evaluated"
"Coussarea accedens","Vulnerable"
"Coussarea meridionalis","Not Threatened"
"Craibia atlantica","Vulnerable"
"Craibia brownii","Not Evaluated"
"Crataegus kelloggii","Not Evaluated"
"Crataegus latebrosa","Not Evaluated"
"Craterispermum longipedunculatum","Vulnerable"
"Critoniopsis quinqueflora","Not Threatened"
"Crotalaria agatiflora","Not Threatened"
"Croton alienus","Threatened"
"Croton campanulatus","Threatened"
"Croton celtidifolius","Not Threatened"
"Croton corinthius","Threatened"
"Croton eichleri","Not Threatened"
"Croton gracilipes","Not Evaluated"
"Croton laccifer","Not Evaluated"
