"Species","IUCNstatus"
"Campnosperma lepidotum","Vulnerable"
"Campnosperma panamense","Not Threatened"
"Cantua longifolia","Not Evaluated"
"Capparidastrum discolor","Not Threatened"
"Capparidastrum grandiflorum","Vulnerable"
"Capparidastrum megalospermum","Not Evaluated"
"Capparidastrum sprucei","Not Evaluated"
"Capurodendron apollonioides","Threatened"
"Capurodendron rufescens","Threatened"
"Caraipa psilocarpa","Not Evaluated"
"Carapa akuri","Not Evaluated"
"Carapa alticola","Not Evaluated"
"Carapa longipetala","Not Evaluated"
"Carapichea tillettii","Not Evaluated"
"Carpotroche pacifica","Not Evaluated"
"Carpotroche ramosii","Not Evaluated"
"Caryocar costaricense","Threatened"
"Caryocar harlingii","Not Threatened"
"Caryocar montanum","Not Threatened"
"Caryodaphnopsis burgeri","Not Threatened"
"Caryodaphnopsis cogolloi","Threatened"
"Caryodaphnopsis theobromifolia","Not Threatened"
"Casearia bartlettii","Not Evaluated"
"Casearia coronata","Not Threatened"
"Casearia grayi","Not Evaluated"
"Casearia michelsonii","Threatened"
"Casearia standleyana","Not Threatened"
"Cassipourea calimensis","Not Threatened"
"Cassipourea floribunda","Vulnerable"
"Cassipourea killipii","Not Evaluated"
"Cassipourea lasiocalyx","Not Evaluated"
"Catostemma altsonii","Not Evaluated"
"Catostemma durifolius","Not Evaluated"
"Catostemma lemense","Not Threatened"
"Cecropia angustifolia","Not Threatened"
"Cecropia bullata","Not Evaluated"
"Cecropia hispidissima","Not Threatened"
"Centronia reticulata","Not Evaluated"
"Ceratopetalum virchowii","Not Evaluated"
"Ceroxylon sasaimae","Threatened"
"Cestrum laevifolium","Not Evaluated"
"Cestrum poasanum","Not Threatened"
"Cestrum rugulosum","Not Threatened"
"Chaetocarpus rabaraba","Threatened"
"Chalepophyllum guyanense","Not Evaluated"
"Chamaecrista amorimii","Threatened"
"Chamaecrista onusta","Vulnerable"
"Chamaecrista spinulosa","DD"
"Chamaecyparis formosensis","Threatened"
"Chamaedorea christinae","Not Evaluated"
"Chamaedorea deckeriana","Not Threatened"
"Chelyocarpus dianeurus","Not Threatened"
"Chimarrhis latifolia","Not Threatened"
"Chomelia grandicarpa","DD"
"Chomelia rubra","DD"
"Chomelia venulosa","Not Threatened"
"Chorisepalum psychotrioides","Not Evaluated"
"Chouxia sorindeioides","Not Threatened"
"Chromolucuma baehniana","Not Threatened"
"Chromolucuma congestifolia","Not Threatened"
"Chrysochlamys allenii","Not Threatened"
"Chrysochlamys glauca","Not Threatened"
"Chrysochlamys nicaraguensis","Not Threatened"
"Chrysochlamys pavonii","Threatened"
"Chrysochlamys psychotriifolia","Not Threatened"
"Chrysochlamys silvicola","Not Threatened"
"Chrysochlamys skutchii","Not Threatened"
"Chrysochlamys tenuis","Not Threatened"
"Chrysophyllum brenesii","Not Threatened"
"Chrysophyllum hirsutum","Not Threatened"
"Cinchona hirsuta","Not Evaluated"
"Cinchona nitida","Not Evaluated"
"Cinnamodendron occhionianum","Threatened"
"Cinnamomum japonicum","Not Threatened"
