"Species","IUCNstatus"
"Castanopsis wilsonii","Not Evaluated"
"Catalpa bungei","Not Threatened"
"Catalpa fargesii","Not Evaluated"
"Catalpa ovata","Not Threatened"
"Cathaya argyrophylla","Vulnerable"
"Cedrus libani","Vulnerable"
"Ceiba soluta","Threatened"
"Celtis biondii","Not Threatened"
"Celtis bungeana","Not Threatened"
"Celtis chekiangensis","Not Evaluated"
"Celtis julianae","Not Threatened"
"Celtis koraiensis","Not Threatened"
"Celtis sinensis","Not Threatened"
"Celtis vandervoetiana","Not Threatened"
"Cephalanthus tetrandra","Not Threatened"
"Cephalotaxus fortunei","Not Threatened"
"Cephalotaxus latifolia","Not Threatened"
"Cephalotaxus sinensis","Not Threatened"
"Cercidiphyllum japonicum","Not Threatened"
"Cercis chinensis","Not Threatened"
"Cercis chingii","Not Evaluated"
"Cercis chuniana","Not Threatened"
"Cercis glabra","Not Evaluated"
"Cercis racemosa","Not Threatened"
"Cestrum guatemalense","Vulnerable"
"Cestrum pacayense","Vulnerable"
"Chaenomeles cathayensis","Not Threatened"
"Chengiopanax fargesii","Not Threatened"
"Chieniodendron hainanense","Not Evaluated"
"Chimonanthus nitens","Not Threatened"
"Chimonanthus praecox","Not Threatened"
"Chionanthus retusus","Not Evaluated"
"Chionanthus verticillatus","Not Evaluated"
"Chionanthus zeylanicus","Not Evaluated"
"Choerospondias axillaris","Not Threatened"
"Chunia bucklandioides","Vulnerable"
"Chuniophoenix hainanensis","Threatened"
"Cinnamomum appelianum","Not Threatened"
"Cinnamomum argenteum","Not Evaluated"
"Cinnamomum barbatoaxillatum","Not Evaluated"
"Cinnamomum bodinieri","Not Threatened"
"Cinnamomum calcareum","Not Evaluated"
"Cinnamomum chengkouense","Not Evaluated"
"Cinnamomum daphnoides","Not Threatened"
"Cinnamomum dominii","Not Evaluated"
"Cinnamomum dubium","Not Threatened"
"Cinnamomum foveolatum","Not Threatened"
"Cinnamomum glanduliferum","Not Threatened"
"Cinnamomum hupehanum","Not Evaluated"
"Cinnamomum ilicioides","Vulnerable"
