"Species","IUCNstatus"
"Elaeocarpus millarii","Vulnerable"
"Elaeocarpus multisectus","Not Threatened"
"Elaeocarpus murukkai","Vulnerable"
"Elaeocarpus oriomensis","Not Threatened"
"Elaeocarpus ovigerus","Not Threatened"
"Elaeocarpus pachyanthus","Not Threatened"
"Elaeocarpus pachyophrys","Not Evaluated"
"Elaeocarpus ptilanthus","Not Threatened"
"Elaeocarpus pullenii","Not Threatened"
"Elaeocarpus sarcanthus","Not Threatened"
"Elaeocarpus sayeri","Not Threatened"
"Elaeocarpus schlechterianus","Not Threatened"
"Elaeocarpus tariensis","Not Threatened"
"Elaeocarpus trichophyllus","Not Threatened"
"Elaeocarpus undulatus","Not Threatened"
"Elaeocarpus whartonensis","Threatened"
"Elattostachys angulosa","Not Threatened"
"Elattostachys globosa","Not Threatened"
"Emmenosperma papuanum","Not Threatened"
"Endiandra forbesii","Not Threatened"
"Endiandra grandifolia","Not Threatened"
"Endiandra pilosa","Threatened"
"Endospermum domatiophorum","Not Threatened"
"Eremophila micrantha","Not Threatened"
"Erica kingaensis","Not Evaluated"
"Erythrina merrilliana","Threatened"
"Esenbeckia hartmanii","Vulnerable"
"Eugenia chiapensis","Not Evaluated"
"Eugenia farinacea","Threatened"
"Eugenia matagalpensis","Threatened"
"Eugenia michoacanensis","Not Threatened"
"Eugenia padronii","Not Evaluated"
"Eugenia rekoi","Not Evaluated"
"Eugenia sarasinii","Not Evaluated"
"Eugenia zelayensis","Threatened"
"Euphorbia brassii","Vulnerable"
"Euphorbia buxoides","DD"
"Euphorbia euonymoclada","Not Threatened"
"Euphorbia grantii","Not Evaluated"
"Euphorbia smithii","Not Threatened"
"Euroschinus aoupiniensis","Vulnerable"
"Euroschinus papuanus","Not Threatened"
"Eurya albiflora","Not Threatened"
"Eurya brassii","Not Threatened"
"Eurya greenmaniana","Not Threatened"
"Eurya longisepala","Not Threatened"
"Eurya meizophylla","Not Evaluated"
"Eurya pluriflora","Not Threatened"
"Eurya polygama","DD"
"Eurya reflexa","Vulnerable"
"Eurya ryozoana","Threatened"
"Eurya tigang","Not Threatened"
"Fagraea bodenii","Not Threatened"
"Fagraea salticola","Not Threatened"
"Fagraea woodiana","Not Threatened"
