"Species","IUCNstatus"
"Archidendropsis xanthoxylon","Not Evaluated"
"Archirhodomyrtus beckleri","DD"
"Archontophoenix alexandrae","Not Threatened"
"Archontophoenix maxima","Not Evaluated"
"Archontophoenix tuckeri","Not Evaluated"
"Arctostaphylos catalinae","Threatened"
"Ardisia bakeri","Not Evaluated"
"Ardisia pachyrhachis","Not Threatened"
"Arenga australasica","Not Evaluated"
"Arytera bifoliolata","Not Evaluated"
"Arytera dictyoneura","Not Evaluated"
"Arytera divaricata","Not Threatened"
"Arytera foveolata","Not Evaluated"
"Arytera microphylla","Not Evaluated"
"Arytera pauciflora","Not Evaluated"
"Asteromyrtus angustifolia","Not Evaluated"
"Asteromyrtus arnhemica","DD"
"Asteromyrtus brassii","Not Threatened"
"Asteromyrtus symphyocarpa","Not Threatened"
"Astrotricha pauciflora","Not Evaluated"
"Astrotrichilia valiandra","Threatened"
"Atalaya alata","Not Evaluated"
"Atalaya angustifolia","Not Threatened"
"Atalaya australiana","Not Threatened"
"Atalaya calcicola","Not Evaluated"
"Atalaya collina","Not Evaluated"
"Atalaya multiflora","Not Threatened"
"Atalaya oligoclada","Not Evaluated"
"Atalaya rigida","Not Evaluated"
"Atalaya salicifolia","Not Threatened"
"Atalaya sericopetala","Not Evaluated"
"Ateleia apetala","Not Evaluated"
"Ateleia cubensis","Not Threatened"
"Ateleia gummifera","Threatened"
"Ateleia salicifolia","Vulnerable"
"Atractocarpus chartaceus","Not Threatened"
"Atractocarpus fitzalanii","Not Threatened"
"Atractocarpus hirtus","Not Threatened"
"Atractocarpus merikin","Not Evaluated"
"Atractocarpus sessilis","Not Threatened"
"Auerodendron northropianum","Vulnerable"
"Auranticarpa edentata","Not Evaluated"
"Auranticarpa ilicifolia","Not Evaluated"
"Auranticarpa melanosperma","Not Threatened"
"Auranticarpa papyracea","Not Evaluated"
"Auranticarpa resinosa","Not Evaluated"
"Austrobuxus megacarpus","Not Evaluated"
"Bachmannia woodii","Not Threatened"
"Backhousia angustifolia","Not Evaluated"
"Backhousia bancroftii","Not Evaluated"
"Backhousia citriodora","Not Evaluated"
"Backhousia enata","Not Evaluated"
"Backhousia hughesii","Not Evaluated"
"Backhousia kingii","Not Evaluated"
"Backhousia oligantha","Not Evaluated"
"Bactris cubensis","Not Evaluated"
"Badiera propinqua","Not Threatened"
"Badiera virgata","Not Evaluated"
"Baikiaea plurijuga","Not Threatened"
"Balanops australiana","Not Threatened"
"Baloghia marmorata","Not Evaluated"
"Baloghia parviflora","Not Evaluated"
"Banara minutiflora","Not Threatened"
"Banisteriopsis arborea","Not Evaluated"
"Banksia dentata","Not Threatened"
"Banksia ilicifolia","Threatened"
"Barbacenia longiscapa","Not Evaluated"
"Barongia lophandra","Not Evaluated"
"Bathiorhamnus dentatus","Vulnerable"
"Bauhinia urbaniana","Not Threatened"
"Beilschmiedia bancroftii","Not Threatened"
"Beilschmiedia berteroana","Threatened"
"Beilschmiedia brunnea","Not Evaluated"
"Beilschmiedia collina","Not Threatened"
"Beilschmiedia obtusifolia","Not Threatened"
"Beilschmiedia oligandra","Not Evaluated"
"Beilschmiedia recurva","Not Evaluated"
"Beilschmiedia tooram","Not Threatened"
"Beilschmiedia volckii","Not Evaluated"
"Benoistia sambiranensis","Threatened"
"Benstonea monticola","Not Threatened"
"Berchemia zeyheri","Not Threatened"
