"Species","IUCNstatus"
"Calophyllum rigidum","Not Evaluated"
"Calophyllum rubiginosum","Not Evaluated"
"Calophyllum tetrapterum","Not Threatened"
"Calophyllum teysmannii","Not Evaluated"
"Calophyllum verticillatum","Vulnerable"
"Calpocalyx aubrevillei","Not Threatened"
"Calpocalyx brevibracteatus","Not Threatened"
"Camellia euphlebia","Threatened"
"Campnosperma auriculatum","Not Threatened"
"Campnosperma lepidotum","Vulnerable"
"Campnosperma micranteium","Not Threatened"
"Campnosperma parvifolium","Threatened"
"Campnosperma schatzii","Not Threatened"
"Campylospermum amplectens","Vulnerable"
"Campylospermum schoenleinianum","Not Threatened"
"Canarium apertum","Not Evaluated"
"Canarium caudatum","Not Evaluated"
"Canarium denticulatum","Not Evaluated"
"Canarium dichotomum","Not Evaluated"
"Canarium latistipulatum","Not Evaluated"
"Canarium littorale","Not Threatened"
"Canarium odontophyllum","Not Evaluated"
"Canarium patentinervium","Not Threatened"
"Canarium pilosum","Not Evaluated"
"Canthium confertum","Not Evaluated"
"Capurodendron bakeri","Threatened"
"Capurodendron ludiifolium","Threatened"
"Capurodendron rufescens","Threatened"
"Capurodendron tampinense","Not Evaluated"
"Capurodendron terminalioides","Threatened"
"Carallia eugenioidea","Not Evaluated"
"Cariniana parvifolia","Not Evaluated"
"Casearia bartlettii","Not Evaluated"
"Casearia capitellata","Not Evaluated"
"Casearia hosei","Not Evaluated"
"Casearia inaequalis","DD"
"Casearia tuberculata","Not Threatened"
"Cassine viburnifolia","Not Evaluated"
"Cassinopsis ciliata","Vulnerable"
"Cassinopsis tomentosa","Threatened"
"Cassipourea afzelii","Not Threatened"
"Cassipourea hiotou","Vulnerable"
"Cassipourea lescotiana","Vulnerable"
"Cassipourea madagascariensis","Threatened"
"Cassipourea nialatou","Not Threatened"
"Cassipourea plumosa","Threatened"
"Castanopsis curtisii","Not Threatened"
"Castanopsis evansii","Not Evaluated"
"Castanopsis foxworthyi","Not Evaluated"
"Castanopsis inermis","Not Evaluated"
"Castanopsis javanica","Not Threatened"
"Castanopsis lucida","Not Evaluated"
"Castanopsis megacarpa","Not Evaluated"
"Castanopsis rhamnifolia","Not Evaluated"
"Castanopsis schefferiana","Not Evaluated"
"Castanopsis tungurrut","Threatened"
"Cavacoa baldwinii","Not Threatened"
"Cedrelopsis ambanjensis","Threatened"
"Cephalanthus angustifolius","Not Evaluated"
"Cephalomappa beccariana","Not Evaluated"
"Cephalomappa malloticarpa","Not Evaluated"
"Chaetocarpus rabaraba","Threatened"
"Chamaecrista subpeltata","Threatened"
"Chassalia chartacea","Not Evaluated"
"Chassalia magnifolia","Not Threatened"
"Chidlowia sanguinea","Not Threatened"
"Chionanthus callophyllus","Not Evaluated"
"Chionanthus curvicarpus","Not Evaluated"
"Chionanthus macrocarpus","Not Evaluated"
"Chionanthus pachyphyllus","Not Evaluated"
"Chionanthus porcatus","Not Evaluated"
"Chionanthus pubicalyx","Not Evaluated"
"Chisocheton macrophyllus","Not Threatened"
"Chisocheton patens","Not Evaluated"
"Chisocheton sarawakanus","Not Evaluated"
"Chloroxylon faho","Vulnerable"
"Chloroxylon falcatum","Threatened"
"Chondrostylis bancana","Not Evaluated"
"Chouxia sorindeioides","Not Threatened"
"Chydenanthus excelsus","Not Evaluated"
"Cinnamomum cuspidatum","Not Threatened"
"Cinnamomum javanicum","Not Threatened"
