Species,AOO
Acacia_plectocarpa,3122
Acacia_podalyriifolia,1959
Acacia_polifolia,372
Acacia_polyadenia,32
Acacia_polybotrya,1627
Acacia_polystachya,880
Acacia_praelongata,485
Acacia_prainii,1754
Acacia_pravissima,1089
Acacia_proiantha,76
Acacia_prominens,1117
Acacia_pruinocarpa,1772
Acacia_pteraneura,1659
Acacia_pubescens,738
Acacia_pubicosta,62
Acacia_pubifolia,210
Acacia_pubirhachis,260
Acacia_pulchella,3870
Acacia_pustula,522
Acacia_pycnantha,14960
Acacia_pycnostachya,133
Acacia_pyrifolia,1839
Acacia_quadrimarginea,775
Acacia_racospermoides,156
Acacia_ramulosa,7236
Acacia_redolens,295
Acacia_resinimarginea,848
Acacia_resinistipulea,184
Acacia_retinervis,460
Acacia_retinodes,3229
Acacia_rhodophloia,1862
Acacia_rhodoxylon,330
Acacia_riceana,521
Acacia_rigens,7451
Acacia_rivalis,1516
Acacia_rostellifera,1485
Acacia_rostriformis,187
Acacia_rothii,492
Acacia_roycei,180
Acacia_rubida,4989
Acacia_saliciformis,730
Acacia_salicina,8446
Acacia_saligna,9308
Acacia_saxatilis,180
Acacia_schinoides,854
Acacia_scirpifolia,392
Acacia_sclerosperma,2110
Acacia_scopulorum,230
Acacia_seclusa,18
Acacia_semilunata,451
Acacia_semirigida,247
Acacia_sericata,226
Acacia_sericoflora,378
Acacia_shirleyi,3317
Acacia_sibilans,271
Acacia_sibina,716
Acacia_sibirica,4116
Acacia_signata,431
Acacia_silvestris,803
Acacia_simplex,41
Acacia_simsii,1968
Acacia_solenota,47
Acacia_spania,63
Acacia_sparsiflora,812
Acacia_speckii,135
Acacia_spectabilis,2922
Acacia_spirorbis,290
Acacia_splendens,42
Acacia_steedmanii,648
Acacia_stenophylla,8295
Acacia_stereophylla,1113
Acacia_stipuligera,2790
Acacia_storyi,117
Acacia_striatifolia,207
Acacia_stricta,3468
Acacia_strongylophylla,974
Acacia_subporosa,383
Acacia_subtessarogona,268
Acacia_subtilinervis,502
Acacia_subulata,782
Acacia_symonii,97
Acacia_synchronicia,1233
Acacia_synoria,25
Acacia_tenuinervis,189
Acacia_tenuispica,175
Acacia_tephrina,851
Acacia_terminalis,10436
Acacia_tessellata,232
Acacia_tetragonophylla,14326
Acacia_thomsonii,448
Acacia_tingoorensis,30
Acacia_torulosa,3663
Acacia_trachycarpa,939
Acacia_trachyphloia,509
Acacia_trinalis,79
Acacia_trinervata,505
Acacia_trineura,829
Acacia_triptera,2214
