Species,n
Acronychia_oblongifolia,1126
Acronychia_octandra,118
Acronychia_papuana,1
Acronychia_parviflora,80
Acronychia_pauciflora,111
Acronychia_pedunculata,154
Acronychia_pubescens,312
Acronychia_pullei,8
Acronychia_reticulata,2
Acronychia_richards-beehleri,1
Acronychia_rugosa,7
Acronychia_schistacea,2
Acronychia_smithii,3
Acronychia_suberosa,74
Acronychia_trifoliolata,47
Acronychia_vestita,102
Acronychia_wabagensis,1
Acronychia_wilcoxiana,140
Acropogon_aoupiniensis,7
Acropogon_bosseri,5
Acropogon_bullatus,16
Acropogon_domatifer,4
Acropogon_dzumacensis,20
Acropogon_francii,1
Acropogon_grandiflorus,3
Acropogon_jaffrei,4
Acropogon_macrocarpus,4
Acropogon_margaretae,1
Acropogon_merytifolius,8
Acropogon_sageniifolia,1
Acropogon_schistophilus,4
Acropogon_schumanniana,7
Acropogon_veillonii,6
Acrosynanthus_parvifolius,3
Actephila_championiae,8
Actephila_excelsa,114
Actephila_flavescens,5
Actephila_lindleyi,351
Actephila_merrilliana,8
Actephila_ovalis,28
Actephila_petiolaris,20
Actephila_plicata,11
Actephila_sessilifolia,40
Actephila_subsessilis,4
Actephila_trichogyna,2
Actinocheita_filicina,19
Actinodaphne_amabilis,1
Actinodaphne_archboldiana,1
Actinodaphne_borneensis,6
Actinodaphne_cupularis,22
Actinodaphne_diversifolia,4
Actinodaphne_elegans,2
Actinodaphne_forrestii,12
Actinodaphne_fragilis,1
Actinodaphne_glabra,1
Actinodaphne_glauca,2
Actinodaphne_glaucina,2
Actinodaphne_glomerata,13
Actinodaphne_henryi,3
Actinodaphne_hookeri,1
Actinodaphne_hypoleucophylla,6
Actinodaphne_kinabaluensis,2
Actinodaphne_koshepangii,1
Actinodaphne_kostermansii,1
Actinodaphne_kweichowensis,6
Actinodaphne_lecomtei,9
Actinodaphne_leiantha,1
Actinodaphne_longipes,1
Actinodaphne_macrophylla,8
Actinodaphne_molochina,2
Actinodaphne_montana,1
Actinodaphne_mushaensis,147
Actinodaphne_myriantha,7
Actinodaphne_obovata,11
Actinodaphne_omeiensis,9
Actinodaphne_paotingensis,1
Actinodaphne_percoriacea,2
Actinodaphne_pilosa,27
Actinodaphne_procera,2
Actinodaphne_pruinosa,16
Actinodaphne_sesquipedalis,4
Actinodaphne_setchuenensis,1
Actinodaphne_sikkimensis,1
Actinodaphne_solomonensis,2
Actinodaphne_speciosa,2
Actinodaphne_sphaerocarpa,1
Actinodaphne_stenophylla,3
Actinodaphne_sulcata,2
Actinodaphne_tayabensis,4
Actinodaphne_tomentosa,8
Actinodaphne_trichocarpa,10
Actinodaphne_tsaii,3
Actinodaphne_wightiana,1
Actinokentia_divaricata,34
Actinokentia_huerlimannii,3
Actinorhytis_calapparia,8
Actinostemon_amazonicus,75
Actinostemon_caribaeus,24
Actinostemon_concepcionis,128
Actinostemon_concolor,1007
Actinostemon_echinatus,7
Actinostemon_imbricatus,2
Actinostemon_klotzschii,299
Actinostemon_schomburgkii,275
Actinostemon_verticillatus,188
Acunaeanthus_tinifolius,2
Adansonia_digitata,573
Adansonia_grandidieri,15
Adansonia_gregorii,251
Adansonia_madagascariensis,54
Adansonia_perrieri,24
Adansonia_suarezensis,10
Adansonia_za,124
Adelia_barbinervis,535
Adelia_membranifolia,139
Adelia_oaxacana,74
Adelia_ricinella,128
Adelia_triloba,225
Adelobotrys_antioquiensis,8
Adenanthera_abrosperma,84
Adenanthera_borneensis,2
Adenanthera_forbesii,1
Adenanthera_intermedia,8
Adenanthera_kostermansii,5
Adenanthera_malayana,2
Adenanthera_mantaroa,38
Adenanthera_microsperma,31
Adenanthera_pavonina,208
Adenaria_floribunda,894
Adenia_karibaensis,1
Adenia_pechuelii,6
Adenium_boehmianum,41
Adenium_multiflorum,29
Adenium_obesum,143
Adenocalymma_bracteosum,44
Adenocalymma_cladotrichum,234
Adenodaphne_uniflora,13
Adenolobus_garipensis,81
Adenophaedra_grandifolia,100
Adenophaedra_megalophylla,73
Adenopodia_rotundifolia,4
Adenorandia_kalbreyeri,23
Adenostoma_sparsifolium,250
Adesmia_viscosa,1
Adinandra_acuminata,9
Adinandra_anisobasis,2
Adinandra_apoensis,5
Adinandra_bockiana,43
Adinandra_borneensis,2
Adinandra_brassii,7
Adinandra_brefeldii,2
Adinandra_celebica,14
Adinandra_clemensiae,5
Adinandra_collina,6
Adinandra_colombonensis,2
Adinandra_cordifolia,9
Adinandra_dasyantha,1
Adinandra_dumosa,41
Adinandra_elliptica,6
Adinandra_epunctata,2
Adinandra_excelsa,8
Adinandra_forbesii,13
Adinandra_formosana,286
Adinandra_glischroloma,35
Adinandra_grandis,2
Adinandra_hainanensis,2
Adinandra_hirta,9
Adinandra_howii,1
Adinandra_impressa,4
Adinandra_integerrima,1
Adinandra_lancipetala,2
Adinandra_lasiopetala,1
Adinandra_lasiostyla,57
Adinandra_latifolia,2
Adinandra_loheri,1
Adinandra_luzonica,1
Adinandra_maculosa,1
Adinandra_magniflora,3
Adinandra_megaphylla,9
Adinandra_meratusensis,1
Adinandra_milletii,4
Adinandra_myrioneura,1
Adinandra_nigroglandulosa,3
Adinandra_nigropunctata,1
Adinandra_nunkokensis,2
Adinandra_oblonga,1
Adinandra_parvifolia,1
Adinandra_pingbianensis,1
Adinandra_quinquepartita,1
Adinandra_ryukyuensis,2
Adinandra_sarosanthera,10
Adinandra_subsessilis,4
Adinandra_verrucosa,3
Adinandra_villosa,4
Adinandra_yaeyamensis,8
Adina_dissimilis,4
Adina_pilulifera,152
Adiscanthus_fusciflorus,68
Aegiceras_floridum,12
Aegiphila_alba,128
Aegiphila_anomala,120
Aegiphila_bogotensis,130
Aegiphila_boliviana,30
Aegiphila_brachiata,311
Aegiphila_buchtienii,7
Aegiphila_cephalophora,85
Aegiphila_cordata,102
Aegiphila_costaricensis,190
Aegiphila_cuatrecasasii,33
Aegiphila_cuneata,62
Aegiphila_deppeana,98
Aegiphila_duckei,2
Aegiphila_elata,202
Aegiphila_elegans,36
Aegiphila_exiguiflora,3
Aegiphila_falcata,37
Aegiphila_fasciculata,20
Aegiphila_ferruginea,45
Aegiphila_filipes,13
Aegiphila_floribunda,22
Aegiphila_fluminensis,86
Aegiphila_glabrata,5
Aegiphila_glomerata,2
Aegiphila_grandis,34
Aegiphila_hastingsiana,2
Aegiphila_hirsutissima,27
Aegiphila_hoehnei,62
Aegiphila_integrifolia,2240
Aegiphila_laeta,109
Aegiphila_laxiflora,17
Aegiphila_lehmannii,36
Aegiphila_lopez-palacii,1
Aegiphila_luschnathii,47
Aegiphila_martinicensis,184
Aegiphila_mediterranea,128
Aegiphila_membranacea,102
Aegiphila_moldenkeana,11
Aegiphila_mollis,222
Aegiphila_monstrosa,157
Aegiphila_monticola,26
Aegiphila_multiflora,62
Aegiphila_novogranatensis,74
Aegiphila_obducta,267
Aegiphila_obovata,1
Aegiphila_odontophylla,117
Aegiphila_panamensis,337
Aegiphila_pauciflora,2
Aegiphila_pennellii,15
Aegiphila_pernambucensis,93
Aegiphila_perplexa,6
Aegiphila_peruviana,25
Aegiphila_purpurascens,6
Aegiphila_rimbachii,6
Aegiphila_roraimensis,13
Aegiphila_saltensis,7
Aegiphila_schimpffii,5
Aegiphila_skutchii,22
Aegiphila_smithii,38
Aegiphila_spicata,15
Aegiphila_steinbachii,6
Aegiphila_sufflava,23
Aegiphila_ternifolia,21
Aegiphila_trifida,3
Aegiphila_truncata,45
Aegiphila_ulei,89
Aegiphila_valerioi,61
Aegiphila_vallensis,11
Aegiphila_venezuelensis,25
Aegiphila_verticillata,851
Aegiphila_villosa,17
Aegiphila_vitelliniflora,257
Aegiphila_wigandioides,13
Aeglopsis_chevalieri,22
Aeglopsis_eggelingii,2
Aequatorium_asterotrichum,3
Aequatorium_cajamarcense,6
Aequatorium_carpishense,2
Aequatorium_jamesonii,9
Aequatorium_lepidotum,1
Aequatorium_limonense,1
Aequatorium_repandiforme,5
Aequatorium_rimachianum,2
