Species,n
Goniothalamus_ridleyi,20
Goniothalamus_roseus,9
Goniothalamus_rufus,14
Goniothalamus_saigonensis,4
Goniothalamus_salicinus,2
Goniothalamus_sawtehii,1
Goniothalamus_scortechinii,4
Goniothalamus_sibuyanensis,1
Goniothalamus_stenopetalus,2
Goniothalamus_suaveolens,28
Goniothalamus_subevenius,3
Goniothalamus_tamirensis,7
Goniothalamus_tapis,18
Goniothalamus_tapisoides,23
Goniothalamus_tavoyensis,1
Goniothalamus_tenuifolius,7
Goniothalamus_thwaitesii,3
Goniothalamus_tortilipetalus,2
Goniothalamus_undulatus,1
Goniothalamus_uvarioides,1
Goniothalamus_velutinus,5
Goniothalamus_woodii,6
Goniothalamus_wrayi,2
Goniothalamus_yunnanensis,1
Gonocarpus_sanguineus,19
Gonocaryum_calleryanum,26
Gonocaryum_gracile,6
Gonocaryum_impressinervium,4
Gonocaryum_litorale,76
Gonocaryum_lobbianum,28
Gonocaryum_macrophyllum,5
Gonocaryum_minus,7
Gonocaryum_poilanei,1
Gonystylus_acuminatus,1
Gonystylus_affinis,6
Gonystylus_areolatus,1
Gonystylus_bancanus,1
Gonystylus_borneensis,7
Gonystylus_brunnescens,7
Gonystylus_calophylloides,1
Gonystylus_confusus,7
Gonystylus_consanguineus,1
Gonystylus_decipiens,1
Gonystylus_forbesii,4
Gonystylus_keithii,4
Gonystylus_macrophyllus,34
Gonystylus_maingayi,2
Gonystylus_micranthus,3
Gonystylus_nervosus,1
Gonystylus_othmanii,1
Gonystylus_pendulus,1
Gonystylus_punctatus,1
Gonystylus_reticulatus,2
Gonystylus_spectabilis,2
Gonystylus_stenosepalus,2
Gonystylus_velutinus,4
Gonystylus_xylocarpus,1
Gonzalagunia_bifida,4
Gonzalagunia_brachyantha,12
Gonzalagunia_brenesii,46
Gonzalagunia_bunchosioides,86
Gonzalagunia_chiapasensis,36
Gonzalagunia_dependens,225
Gonzalagunia_dicocca,480
Gonzalagunia_discolor,15
Gonzalagunia_dodsonii,7
Gonzalagunia_longithyrsa,19
Gonzalagunia_osaensis,75
Gonzalagunia_ovatifolia,127
Gonzalagunia_pachystachya,7
Gonzalagunia_panamensis,326
Gonzalagunia_rosea,208
Gonzalagunia_rudis,83
Gonzalagunia_stenostachya,58
Gonzalagunia_surinamensis,38
Gonzalagunia_thyrsoidea,45
Gorceixia_decurrens,28
Gordonia_obtusa,3
Gordonia_ovalis,2
Gordonia_singaporeana,1
Gossia_acmenoides,219
Gossia_alaternoides,21
Gossia_aphthosa,8
Gossia_bamagensis,23
Gossia_bidwillii,709
Gossia_byrnesii,1
Gossia_clusioides,23
Gossia_colnettiana,4
Gossia_dallachyana,90
Gossia_diversifolia,5
Gossia_floribunda,109
Gossia_fragrantissima,124
Gossia_gonoclada,20
Gossia_grayi,42
Gossia_hillii,198
Gossia_inophloia,43
Gossia_kuakuensis,6
Gossia_lewisensis,46
Gossia_lucida,51
Gossia_macilwraithensis,27
Gossia_myrsinocarpa,166
Gossia_nigripes,3
Gossia_pancheri,27
Gossia_pubiflora,36
Gossia_punctata,56
Gossia_retusa,34
Gossia_shepherdii,76
Gossia_vieillardii,37
Gossia_virotii,2
Gossypium_arboreum,5
Gossypium_aridum,162
Gossypium_barbadense,380
Gossypium_darwinii,26
Gossypium_hirsutum,611
Gossypium_lobatum,12
Gossypium_trilobum,21
Goupia_glabra,802
Goupia_guatemalensis,3
Graffenrieda_bella,35
Graffenrieda_calyptrelloides,9
Graffenrieda_caryophyllea,114
Graffenrieda_caudata,12
Graffenrieda_chrysandra,2
Graffenrieda_colombiana,42
Graffenrieda_conostegioides,71
Graffenrieda_cucullata,197
Graffenrieda_emarginata,193
Graffenrieda_fantastica,31
Graffenrieda_foliosa,3
Graffenrieda_galeottii,162
Graffenrieda_gentlei,6
Graffenrieda_gracilis,237
Graffenrieda_grandifolia,40
Graffenrieda_hitchcockii,17
Graffenrieda_intermedia,137
Graffenrieda_jauana,6
Graffenrieda_jefensis,3
Graffenrieda_kralii,15
Graffenrieda_latifolia,64
Graffenrieda_limbata,134
Graffenrieda_maklenkensis,6
Graffenrieda_miconioides,78
Graffenrieda_micrantha,54
Graffenrieda_moaensis,7
Graffenrieda_ottoschulzii,6
Graffenrieda_phoenicea,2
Graffenrieda_polymera,41
Graffenrieda_reticulata,13
Graffenrieda_robusta,2
Graffenrieda_rotundifolia,33
Graffenrieda_rupestris,83
Graffenrieda_santamartensis,37
Graffenrieda_scandens,7
Graffenrieda_sessilifolia,61
Graffenrieda_sipapoana,7
Graffenrieda_tricalcarata,8
Graffenrieda_trichanthera,2
Graffenrieda_weddellii,164
Grajalesia_fasciculata,42
Grandidiera_boivinii,78
Grangeria_borbonica,9
Grangeria_porosa,86
Greenea_commersonii,1
Greenea_corymbosa,24
Greeniopsis_discolor,1
Greeniopsis_euphlebia,1
Greeniopsis_megalantha,2
Greeniopsis_multiflora,5
Greeniopsis_pubescens,2
Greeniopsis_sibuyanensis,1
Greenwayodendron_oliveri,167
Greenwayodendron_suaveolens,638
Grevea_eggelingii,32
Grevillea_agrifolia,393
Grevillea_albiflora,92
Grevillea_baileyana,121
Grevillea_banksii,194
Grevillea_barklyana,50
Grevillea_calcicola,6
Grevillea_coriacea,105
Grevillea_dimidiata,390
Grevillea_donaldiana,3
Grevillea_erythroclada,66
Grevillea_exul,43
Grevillea_gillivrayi,29
Grevillea_glauca,320
Grevillea_heliosperma,982
Grevillea_helmsiae,124
Grevillea_hilliana,163
Grevillea_juncifolia,1170
Grevillea_meisneri,10
Grevillea_mimosoides,626
Grevillea_nematophylla,537
Grevillea_papuana,60
Grevillea_parallela,998
Grevillea_refracta,1050
Grevillea_robusta,1080
Grevillea_sessilis,93
Grevillea_stenobotrya,931
Grevillea_striata,1201
Grevillea_whiteana,47
Grewia_abutilifolia,43
Grewia_ambongoensis,5
Grewia_amplifolia,9
Grewia_analamerensis,13
Grewia_andramparo,24
Grewia_angolensis,3
Grewia_arborea,20
Grewia_asiatica,6
Grewia_baillonii,8
Grewia_balensis,2
Grewia_biloba,204
Grewia_botryantha,19
Grewia_bracteata,2
Grewia_breviflora,465
Grewia_calvata,27
Grewia_chalybaea,3
Grewia_chungii,7
Grewia_crenata,31
Grewia_cuneifolia,101
Grewia_cyclea,28
Grewia_cyclopetala,3
Grewia_densa,15
Grewia_diversipes,4
Grewia_eriocarpa,50
Grewia_falcata,1
Grewia_ferruginea,25
Grewia_filipes,4
Grewia_flava,280
Grewia_flavescens,374
Grewia_forbesii,41
Grewia_gillettii,3
Grewia_glandulosa,53
Grewia_glyphaeoides,6
Grewia_goetzeana,33
Grewia_grandidieri,11
Grewia_grevei,45
Grewia_henryi,29
Grewia_hexamita,62
Grewia_hirsuta,15
Grewia_holstii,51
Grewia_holtzii,4
Grewia_humblotii,26
Grewia_hypotephra,5
Grewia_inaequilatera,25
Grewia_insularis,3
Grewia_lacei,2
Grewia_laevigata,77
Grewia_lapiazicola,9
Grewia_lasiocarpa,26
Grewia_lasiodiscus,163
Grewia_lavanalensis,47
Grewia_lepidopetala,9
Grewia_leptopus,15
Grewia_leucophylla,15
Grewia_louisii,22
Grewia_luteiflora,4
Grewia_madagascariensis,17
Grewia_meizophylla,3
Grewia_meridionalis,16
Grewia_micrantha,21
Grewia_microcarpa,11
Grewia_microcyclea,22
Grewia_mollis,71
Grewia_monantha,3
Grewia_monticola,147
Grewia_multiflora,18
Grewia_nitida,10
Grewia_occidentalis,322
Grewia_optiva,12
Grewia_orientalis,9
Grewia_oxyphylla,253
Grewia_pachycalyx,20
Grewia_permagna,3
Grewia_perrieri,1
Grewia_pervillei,4
Grewia_picta,23
Grewia_piscatorum,11
Grewia_plagiophylla,47
Grewia_polygama,1
Grewia_pondoensis,9
Grewia_praecox,7
Grewia_pubescens,10
Grewia_retusifolia,2060
Grewia_rhomboides,5
Grewia_rothii,4
Grewia_rugosifolia,4
Grewia_sahafariensis,6
Grewia_sambiranensis,31
Grewia_schmitzii,2
Grewia_schweinfurthii,21
Grewia_similiopsis,5
Grewia_similis,63
Grewia_speciosa,4
Grewia_stolzii,23
Grewia_suarezensis,18
Grewia_subaequalis,9
Grewia_subspathulata,132
Grewia_tahitensis,1
Grewia_tannifera,7
Grewia_tenax,150
Grewia_tephrodermis,5
Grewia_thouvenotii,17
Grewia_tiliifolia,10
Grewia_tomentosa,1
Grewia_transzambesica,10
Grewia_trichocarpa,39
Grewia_triflora,43
Grewia_trinervia,21
Grewia_truncata,7
Grewia_tsiandrensis,1
Grewia_tulearensis,9
Grewia_turbinata,4
Grewia_velutina,6
Grewia_villosa,198
Grewia_vitiensis,1
Greyia_flanaganii,8
Greyia_radlkoferi,46
Greyia_sutherlandii,70
Grias_cauliflora,150
Grias_colombiana,5
Grias_haughtii,34
Grias_longirachis,1
Grias_multinervia,18
Grias_neuberthii,259
Grias_peruviana,206
Grias_purpuripetala,5
Grias_theobromicarpa,4
Grimmeodendron_eglandulosum,8
Grimmeodendron_jamaicense,2
Griselinia_littoralis,12450
Griselinia_lucida,1651
Grisollea_myriantha,71
Grisollea_thomassetii,4
Grossera_elongata,1
Grossera_macrantha,36
Grossera_major,8
Grossera_multinervis,16
Grossera_paniculata,144
Grossera_perrieri,28
Grossera_vignei,33
Grosvenoria_campii,3
Grosvenoria_rimbachii,25
Guaiacum_coulteri,391
Guaiacum_officinale,114
Guaiacum_sanctum,329
Guapira_amacurensis,9
Guapira_areolata,316
Guapira_bolivarensis,7
Guapira_brevipetiolata,25
Guapira_costaricana,366
Guapira_cuspidata,98
Guapira_discolor,84
Guapira_domingensis,3
Guapira_eggersiana,101
Guapira_ferruginea,65
Guapira_fragrans,172
Guapira_glabriflora,1
Guapira_graciliflora,807
Guapira_guianensis,4
Guapira_hassleriana,9
Guapira_hirsuta,675
Guapira_kanukuensis,5
Guapira_marcano-bertii,4
Guapira_microphylla,27
Guapira_myrtiflora,47
Guapira_neblinensis,4
Guapira_noxia,615
Guapira_obtusata,283
Guapira_opposita,2477
Guapira_pacurero,66
Guapira_petenensis,49
Guapira_pubescens,15
Guapira_rotundifolia,4
Guapira_rufescens,8
Guapira_rusbyana,4
Guapira_salicifolia,27
Guapira_sancarlosiana,6
Guapira_sipapoana,4
Guapira_suborbiculata,7
Guapira_tomentosa,106
Guapira_uberrima,9
Guapira_venosa,143
Guapira_witsbergeri,9
Guarea_aguilarii,9
Guarea_blanchetii,55
Guarea_bullata,246
Guarea_carapoides,16
Guarea_carinata,166
Guarea_cartaguenya,44
Guarea_casimiriana,5
Guarea_caulobotryis,24
Guarea_chiricana,106
Guarea_cinnamomea,110
Guarea_constricta,8
Guarea_convergens,30
Guarea_corrugata,2
Guarea_corticosa,7
Guarea_costata,14
Guarea_crispa,5
Guarea_cristata,50
Guarea_donnell-smithii,14
Guarea_ecuadoriensis,54
Guarea_eriorhachis,3
Guarea_fissicalyx,60
Guarea_fistulosa,58
Guarea_gentryi,31
Guarea_glabra,1862
Guarea_gomma,411
Guarea_guentheri,42
Guarea_guidonia,2939
Guarea_hoffmanniana,95
Guarea_humaitensis,53
Guarea_inesiana,4
Guarea_jamaicensis,3
Guarea_juglandiformis,54
Guarea_kunthiana,2732
Guarea_luxii,23
Guarea_macrocalyx,12
Guarea_macrophylla,3115
Guarea_mexicana,6
Guarea_michel-moddei,7
Guarea_pendula,7
Guarea_persistens,35
Guarea_polymera,18
Guarea_pterorhachis,604
Guarea_pubescens,865
Guarea_purusana,257
Guarea_pyriformis,7
Guarea_rhopalocarpa,168
Guarea_riparia,11
Guarea_scabra,84
Guarea_silvatica,509
Guarea_sphenophylla,4
Guarea_sprucei,4
Guarea_subandina,7
Guarea_subsessilifolia,9
Guarea_tafae-malekui,8
Guarea_talamancana,2
Guarea_tonduzii,38
Guarea_trunciflora,91
Guarea_velutina,41
Guarea_venenata,9
Guarea_zarceroensis,9
Guatteria_aberrans,24
Guatteria_acrantha,4
Guatteria_aeruginosa,146
Guatteria_alata,36
Guatteria_allenii,21
Guatteria_alta,38
Guatteria_alticola,3
Guatteria_amplifolia,703
Guatteria_anteridifera,3
Guatteria_arenicola,35
Guatteria_argentea,6
Guatteria_atabapensis,17
Guatteria_australis,1329
Guatteria_ayangannae,4
Guatteria_blainii,43
Guatteria_blepharophylla,627
Guatteria_brevipetiolata,6
Guatteria_campestris,132
Guatteria_campinensis,7
Guatteria_candolleana,72
Guatteria_caribaea,29
Guatteria_chasmantha,12
Guatteria_chiriquiensis,56
Guatteria_chrysophylla,9
Guatteria_citriodora,235
Guatteria_clusiifolia,2
Guatteria_confusa,5
Guatteria_conspicua,14
Guatteria_costaricensis,87
Guatteria_crassipes,51
Guatteria_cryandra,20
Guatteria_cuatrecasasii,41
Guatteria_darienensis,33
Guatteria_decurrens,86
Guatteria_denudata,2
Guatteria_discolor,186
Guatteria_dolichopoda,172
Guatteria_duckeana,21
Guatteria_duodecima,79
Guatteria_dura,14
Guatteria_elata,61
Guatteria_elegans,2
Guatteria_elegantissima,17
Guatteria_elongata,2
Guatteria_emarginata,2
Guatteria_eriopoda,4
Guatteria_eugeniifolia,5
Guatteria_ferruginea,1
Guatteria_flabellata,36
Guatteria_flagelliflora,3
Guatteria_flexilis,15
Guatteria_foliosa,374
Guatteria_fractiflexa,9
Guatteria_friesiana,20
Guatteria_galeottiana,57
Guatteria_gentryi,35
Guatteria_goudotiana,90
Guatteria_grandiflora,5
Guatteria_grandipes,9
Guatteria_guianensis,327
Guatteria_hirsuta,364
Guatteria_hispida,9
Guatteria_insculpta,42
Guatteria_intermedia,23
Guatteria_inundata,252
Guatteria_jefensis,12
Guatteria_latifolia,29
Guatteria_leucotricha,2
Guatteria_liesneri,24
Guatteria_longicuspis,72
Guatteria_lucens,92
Guatteria_macropus,85
Guatteria_maguirei,30
Guatteria_maypurensis,183
Guatteria_megalophylla,605
Guatteria_meliodora,51
Guatteria_microcarpa,45
Guatteria_minutiflora,7
Guatteria_modesta,79
Guatteria_monticola,7
Guatteria_moralesii,4
Guatteria_myriocarpa,3
Guatteria_notabilis,50
Guatteria_novogranatensis,11
Guatteria_oblonga,1
Guatteria_oblongifolia,43
Guatteria_odorata,1
Guatteria_oligocarpa,216
Guatteria_oliviformis,117
Guatteria_ouregou,55
Guatteria_pacifica,33
Guatteria_pakaraimae,4
Guatteria_paludosa,8
Guatteria_panamensis,14
Guatteria_pannosa,7
Guatteria_partangensis,1
Guatteria_pastazae,23
Guatteria_peruviana,6
Guatteria_pittieri,44
Guatteria_pogonopus,367
Guatteria_pohliana,80
Guatteria_polyantha,2
Guatteria_procera,43
Guatteria_pudica,39
Guatteria_punctata,1407
Guatteria_ramiflora,38
Guatteria_reinaldii,2
Guatteria_richardii,17
Guatteria_rigida,125
Guatteria_rostrata,26
Guatteria_rotundata,15
Guatteria_rubrinervis,22
Guatteria_rufotomentosa,2
Guatteria_rupestris,43
Guatteria_sabuletorum,3
Guatteria_saffordiana,49
Guatteria_scalarinervia,14
Guatteria_schomburgkiana,874
Guatteria_scytophylla,159
Guatteria_sellowiana,526
Guatteria_sessilicarpa,25
Guatteria_slateri,34
Guatteria_spectabilis,13
Guatteria_stenocarpa,10
Guatteria_stenopetala,6
Guatteria_stipitata,64
Guatteria_subsessilis,50
Guatteria_talamancana,28
Guatteria_tenera,4
Guatteria_terminalis,14
Guatteria_tomentosa,302
Guatteria_trichocarpa,26
Guatteria_trichostemon,5
Guatteria_ucayalina,773
Guatteria_venezuelana,9
Guatteria_venosa,14
Guatteria_verrucosa,87
Guatteria_verruculosa,2
Guatteria_villosissima,215
Guatteria_wachenheimii,50
Guatteria_wokomungensis,4
Guatteria_zamorae,9
Guazuma_crinita,111
Guazuma_ulmifolia,6639
Guettarda_abbottii,7
Guettarda_aculeolata,1
Guettarda_adulterina,2
Guettarda_amblyophylla,1
Guettarda_angelica,485
Guettarda_angustata,5
Guettarda_argentea,30
Guettarda_artensis,1
Guettarda_baladensis,6
Guettarda_barahonensis,4
Guettarda_bernardii,1
Guettarda_blanchetiana,3
Guettarda_brenesii,10
Guettarda_brevinodis,2
Guettarda_calcicola,1
Guettarda_calyptrata,31
Guettarda_clarensis,1
Guettarda_cobrensis,1
Guettarda_comata,12
Guettarda_combsii,416
Guettarda_coxiana,1
Guettarda_crassifolia,4
Guettarda_crassipes,8
Guettarda_crenulata,1
Guettarda_crispiflora,727
Guettarda_cueroensis,5
Guettarda_deamii,52
Guettarda_dependens,19
Guettarda_dictyophylla,7
Guettarda_divaricata,180
Guettarda_elegans,1
Guettarda_elliptica,668
Guettarda_fanshawei,2
Guettarda_ferruginea,11
Guettarda_filipes,31
Guettarda_foliacea,134
Guettarda_frangulifolia,1
Guettarda_frondosa,4
Guettarda_gaumeri,185
Guettarda_grazielae,37
Guettarda_heterosepala,13
Guettarda_hirsuta,34
Guettarda_hoffmannseggii,1
Guettarda_humboldtensis,7
Guettarda_hypoglauca,1
Guettarda_hypolasia,2
Guettarda_inaequipes,1
Guettarda_insularis,9
Guettarda_krugii,21
Guettarda_lindeniana,24
Guettarda_longiflora,2
Guettarda_macrocarpa,3
Guettarda_macrosperma,353
Guettarda_malacophylla,16
Guettarda_mollis,21
Guettarda_monocarpa,7
Guettarda_multinervis,1
Guettarda_nannocarpa,4
Guettarda_nashii,1
Guettarda_nervosa,3
Guettarda_ocoana,2
Guettarda_ocoteifolia,7
Guettarda_odorata,65
Guettarda_organosia,1
Guettarda_ovalifolia,45
Guettarda_oxyphylla,2
Guettarda_paludosa,1
Guettarda_platypoda,331
Guettarda_pohliana,350
Guettarda_polytheca,1
Guettarda_pungens,45
Guettarda_quadrifida,1
Guettarda_ramuliflora,31
Guettarda_rhamnifolia,1
Guettarda_rigida,1
Guettarda_roupaliifolia,30
Guettarda_rusbyi,6
Guettarda_sageretioides,5
Guettarda_sanblasensis,87
Guettarda_scabra,83
Guettarda_sciaphila,1
Guettarda_shaferi,9
Guettarda_speciosa,347
Guettarda_splendens,1
Guettarda_spruceana,56
Guettarda_stenophylla,2
Guettarda_subcapitata,45
Guettarda_tikalana,57
Guettarda_tobagensis,4
Guettarda_tortuensis,1
Guettarda_tournefortiopsis,106
Guettarda_trimera,6
Guettarda_urbanii,4
Guettarda_uruguensis,575
Guettarda_valenzuelana,64
Guettarda_viburnoides,1956
Guettarda_wagapensis,1
Guianodendron_praeclarum,7
Guibourtia_arnoldiana,12
Guibourtia_carrissoana,5
Guibourtia_coleosperma,59
Guibourtia_conjugata,33
Guibourtia_copallifera,21
Guibourtia_demeusei,56
Guibourtia_dinklagei,4
Guibourtia_ehie,140
Guibourtia_hymenaeifolia,12
Guibourtia_leonensis,25
Guibourtia_pellegriniana,41
Guibourtia_schliebenii,18
Guibourtia_sousae,1
Guibourtia_tessmannii,58
Guiera_senegalensis,269
Guilfoylia_monostylis,401
Guioa_acuminata,1
Guioa_acutifolia,309
Guioa_aryterifolia,4
Guioa_asquamosa,1
Guioa_bicolor,5
Guioa_bijuga,9
Guioa_capillacea,1
Guioa_chrysea,4
Guioa_comesperma,42
Guioa_contracta,10
Guioa_coriacea,13
Guioa_crenata,20
Guioa_crenulata,9
Guioa_diplopetala,17
Guioa_discolor,1
Guioa_glauca,239
Guioa_grandifoliola,7
Guioa_hirsuta,7
Guioa_koelreuteria,24
Guioa_koniamboensis,2
Guioa_lasioneura,137
Guioa_lentiscifolia,3
Guioa_malukuensis,4
Guioa_melanopoda,2
Guioa_membranifolia,4
Guioa_microsepala,66
Guioa_molliuscula,2
Guioa_montana,59
Guioa_multijuga,1
Guioa_myriadenia,1
Guioa_normanbiensis,1
Guioa_novobritannica,1
Guioa_novoebudaensis,2
Guioa_oligotricha,4
Guioa_ovalis,58
Guioa_patentinervis,6
Guioa_pauciflora,3
Guioa_pectinata,22
Guioa_platycarpa,7
Guioa_pleuropteris,39
Guioa_plurinervis,2
Guioa_pseudoamabilis,6
Guioa_pteropoda,3
Guioa_pterorhachis,3
Guioa_pubescens,8
Guioa_punctata,2
Guioa_reticulata,1
Guioa_rhoifolia,7
Guioa_rigidiuscula,9
Guioa_sarcopterifructa,20
Guioa_scalariformis,2
Guioa_semiglauca,2225
Guioa_spathulata,2
Guioa_subsericea,24
Guioa_truncata,2
Guioa_unguiculata,5
Guioa_villosa,148
Guioa_waigeoensis,2
Gustavia_acuminata,23
Gustavia_angustifolia,41
Gustavia_augusta,1268
Gustavia_brachycarpa,38
Gustavia_coriacea,13
Gustavia_dodsonii,17
Gustavia_dubia,78
Gustavia_elliptica,67
Gustavia_erythrocarpa,5
Gustavia_excelsa,8
Gustavia_flagellata,12
Gustavia_foliosa,9
Gustavia_fosteri,8
Gustavia_gentryi,12
Gustavia_gigantophylla,7
Gustavia_gracillima,2
Gustavia_grandibracteata,46
Gustavia_hexapetala,958
Gustavia_inakuama,9
Gustavia_latifolia,2
Gustavia_longifolia,14
Gustavia_longifuniculata,13
Gustavia_macarenensis,87
Gustavia_monocaulis,6
Gustavia_nana,81
Gustavia_parviflora,6
Gustavia_petiolata,7
Gustavia_poeppigiana,330
Gustavia_pubescens,30
Gustavia_pulchra,118
Gustavia_romeroi,26
Gustavia_santanderiensis,16
Gustavia_serrata,19
Gustavia_sessilis,2
Gustavia_speciosa,119
Gustavia_superba,215
Gustavia_terminaliflora,3
Gustavia_verticillata,13
Gyminda_fimbrillata,2
Gyminda_latifolia,137
Gyminda_orbicularis,3
Gyminda_tonduzii,148
Gymnacranthera_bancana,3
Gymnacranthera_contracta,9
Gymnacranthera_farquhariana,198
Gymnacranthera_forbesii,30
Gymnacranthera_maliliensis,4
Gymnacranthera_ocellata,9
Gymnanthemum_bellinghamii,6
Gymnanthemum_coloratum,106
Gymnanthemum_extensum,1
Gymnanthemum_myrianthum,110
Gymnanthemum_rueppellii,3
Gymnanthes_actinostemoides,25
Gymnanthes_albicans,12
Gymnanthes_belizensis,4
Gymnanthes_borneensis,4
Gymnanthes_edwalliana,74
Gymnanthes_gaudichaudii,36
Gymnanthes_glandulosa,3
Gymnanthes_hypoleuca,15
Gymnanthes_inopinata,81
Gymnanthes_insolita,2
Gymnanthes_integra,2
Gymnanthes_longipes,86
Gymnanthes_lucida,356
Gymnanthes_nervosa,28
Gymnanthes_pallens,14
Gymnanthes_riparia,201
Gymnanthes_widgrenii,3
Gymnocladus_chinensis,34
Gymnocladus_dioicus,1009
Gymnopodium_floribundum,536
Gymnosporia_addat,5
Gymnosporia_arbutifolia,82
Gymnosporia_arenicola,23
Gymnosporia_bachmannii,8
Gymnosporia_buchananii,83
Gymnosporia_buxifolia,347
Gymnosporia_chevalieri,2
Gymnosporia_crenata,7
Gymnosporia_devenishii,8
Gymnosporia_dhofarensis,17
Gymnosporia_diversifolia,94
Gymnosporia_drummondii,4
Gymnosporia_glaucophylla,57
Gymnosporia_gracilis,61
Gymnosporia_grandifolia,29
Gymnosporia_gurueensis,2
Gymnosporia_harveyana,120
Gymnosporia_hemipterocarpa,6
Gymnosporia_heterophylla,109
Gymnosporia_keniensis,4
Gymnosporia_linearis,47
Gymnosporia_maranguensis,57
Gymnosporia_marcanii,1
Gymnosporia_masindei,9
Gymnosporia_mossambicensis,71
Gymnosporia_nemorosa,85
Gymnosporia_nguruensis,3
Gymnosporia_obscura,15
Gymnosporia_parviflora,4
Gymnosporia_polyacanthus,58
Gymnosporia_putterlickioides,15
Gymnosporia_richardsiae,1
Gymnosporia_rubra,31
Gymnosporia_rufa,1
Gymnosporia_schliebenii,10
Gymnosporia_senegalensis,865
Gymnosporia_serrata,19
Gymnosporia_stylosa,1
Gymnosporia_thompsonii,3
Gymnosporia_variabilis,10
Gymnostemon_zaizou,14
Gymnostoma_australianum,30
Gymnostoma_chamaecyparis,19
Gymnostoma_deplancheanum,28
Gymnostoma_glaucescens,6
Gymnostoma_intermedium,8
Gymnostoma_leucodon,5
Gymnostoma_nobile,5
Gymnostoma_nodiflorum,7
Gymnostoma_papuanum,128
Gymnostoma_poissonianum,24
Gymnostoma_rumphianum,9
Gymnostoma_sumatranum,24
Gymnostoma_vitiense,1
Gynochthodes_decipiens,21
Gynochthodes_trimera,4
Gynotroches_axillaris,71
Gynoxys_acostae,47
Gynoxys_asterotricha,32
Gynoxys_azuayensis,5
Gynoxys_baccharoides,12
Gynoxys_callacallana,1
Gynoxys_calyculisolvens,19
Gynoxys_capituliparva,9
Gynoxys_chagalensis,4
Gynoxys_chimborazensis,2
Gynoxys_cochabambensis,8
Gynoxys_colanensis,4
Gynoxys_columbiana,1
Gynoxys_compressissima,15
Gynoxys_congestiflora,9
Gynoxys_cruzensis,5
Gynoxys_cuicochensis,34
Gynoxys_cutervensis,1
Gynoxys_cuzcoensis,8
Gynoxys_dielsiana,8
Gynoxys_hallii,99
Gynoxys_hirsuta,26
Gynoxys_hirsutissima,4
Gynoxys_infralanata,1
Gynoxys_jelskii,2
Gynoxys_laurata,6
Gynoxys_laurifolia,8
Gynoxys_lehmannii,14
Gynoxys_malcabalensis,2
Gynoxys_marcapatana,7
Gynoxys_parvifolia,19
Gynoxys_perbracteosa,7
Gynoxys_pillahuatensis,2
Gynoxys_poggeana,6
Gynoxys_psilophylla,28
Gynoxys_pulchella,8
Gynoxys_rimbachii,8
Gynoxys_sancti-antonii,28
Gynoxys_sorataensis,1
Gynoxys_stuebelii,9
Gynoxys_tablaensis,2
Gynoxys_tolimensis,43
Gynoxys_tomentosissima,4
Gynoxys_trianae,32
Gynoxys_vacana,1
Gynoxys_visoensis,5
Gyranthera_caribensis,15
Gyranthera_darienensis,6
Gyrinops_caudata,2
Gyrinops_decipiens,3
Gyrinops_ledermannii,13
Gyrinops_podocarpa,8
Gyrinops_versteegii,1
Gyrinops_vidalii,2
Gyrinops_walla,7
Gyrocarpus_americanus,1228
Gyrocarpus_angustifolius,9
Gyrocarpus_hababensis,9
Gyrocarpus_jatrophifolius,201
Gyrocarpus_mocinoi,37
Gyrostemon_ramulosus,621
Gyrostipula_comorensis,3
Gyrostipula_foveolata,26
Gyrostipula_obtusa,1
Gyrotaenia_crassifolia,2
Gyrotaenia_microcarpa,1
Gyrotaenia_myriocarpa,21
Gyrotaenia_spicata,2
Gyrotaenia_trujilloana,1
Haematodendron_glabrum,22
Haematostaphis_barteri,140
Haematostemon_coriaceus,2
Haematoxylum_brasiletto,654
Haematoxylum_campechianum,570
Haenianthus_incrassatus,2
Haenianthus_salicifolius,47
Haenianthus_variifolius,4
Hakea_salicifolia,24
Halesia_carolina,418
Halesia_diptera,270
Halfordia_kendack,494
Halleria_ligustrifolia,75
Halleria_lucida,297
Halostachys_belangeriana,3
Haloxylon_ammodendron,11
Haloxylon_persicum,1
Hamamelis_mollis,14
Hamamelis_vernalis,159
Hamamelis_virginiana,3060
Hamelia_barbata,21
Hamelia_calycosa,173
Hamelia_cuprea,1
Hamelia_longipes,133
Hamelia_macrantha,190
Hamelia_magnifolia,116
Hamelia_papillosa,2
Hamelia_patens,4341
Hamelia_rostrata,205
Hamelia_rovirosae,175
Hamelia_sanguinea,24
Hamelia_ventricosa,4
Hamelia_xerocarpa,112
Hamelia_xorullensis,95
Hampea_albipetala,27
Hampea_appendiculata,254
Hampea_breedlovei,9
Hampea_integerrima,148
Hampea_longipes,59
Hampea_micrantha,28
Hampea_montebellensis,31
Hampea_platanifolia,53
Hampea_punctulata,41
Hampea_reynae,5
Hampea_sphaerocarpa,8
Hampea_stipitata,202
Hampea_thespesioides,23
Hampea_tomentosa,37
Hampea_trilobata,635
Hancea_acuminata,77
Hancea_capuronii,79
Hancea_cordatifolia,1
Hancea_eucausta,15
Hancea_grandistipularis,3
Hancea_griffithiana,47
Hancea_hirsuta,2
Hancea_hookeriana,20
Hancea_kingii,11
Hancea_longistyla,2
Hancea_papuana,2
Hancea_penangensis,143
Hancea_spinulosa,65
